task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	bc/81f27a	7432	GENERATE_TRAIN_CONFIG (mouse-ch_cdr3beta_epitope_0_4)	COMPLETED	0	2025-08-28 18:09:58.094	154ms	15ms	50.0%	0	0	112.8 KB	372 B
8	4c/360096	7351	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_10)	COMPLETED	0	2025-08-28 18:09:58.074	169ms	15ms	36.4%	0	0	116.9 KB	374 B
9	a4/e425e0	7383	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_11)	COMPLETED	0	2025-08-28 18:09:58.084	122ms	15ms	75.0%	0	0	114.8 KB	374 B
4	3c/d94d6d	7337	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_6)	COMPLETED	0	2025-08-28 18:09:58.062	141ms	4ms	126.3%	0	0	114.8 KB	373 B
7	12/a1f4c7	7326	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_9)	COMPLETED	0	2025-08-28 18:09:58.046	144ms	4ms	120.0%	0	0	116.9 KB	388 B
11	4f/9714a6	7485	GENERATE_TRAIN_CONFIG (mouse-ch_cdr3beta_epitope_0_3)	COMPLETED	0	2025-08-28 18:09:58.103	150ms	14ms	60.0%	0	0	116.9 KB	372 B
6	24/028f01	7527	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_8)	COMPLETED	0	2025-08-28 18:09:58.114	178ms	12ms	61.5%	0	0	114.8 KB	372 B
13	fc/0b2717	7609	GENERATE_TRAIN_CONFIG (mouse-ch_cdr3beta_epitope_0_5)	COMPLETED	0	2025-08-28 18:09:58.134	180ms	5ms	68.6%	0	0	114.8 KB	372 B
18	81/8b5741	7760	GENERATE_TRAIN_CONFIG (mouse-ch_cdr3beta_epitope_0_10)	COMPLETED	0	2025-08-28 18:09:58.163	179ms	8ms	28.6%	0	0	114.8 KB	374 B
16	25/2e639e	7664	GENERATE_TRAIN_CONFIG (mouse-ch_cdr3beta_epitope_0_8)	COMPLETED	0	2025-08-28 18:09:58.144	245ms	9ms	61.5%	0	0	112.8 KB	372 B
5	89/22b46e	7838	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_7)	COMPLETED	0	2025-08-28 18:09:58.178	212ms	17ms	41.4%	0	0	114.8 KB	372 B
1	8a/d04b31	7562	GENERATE_TRAIN_CONFIG (mouse-u_cdr3alpha_epitope_0_3)	COMPLETED	0	2025-08-28 18:09:58.123	262ms	9ms	57.1%	0	0	114.8 KB	372 B
